Area,MajorAxisLenght,MinorAxisLenght,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Class
376,51.8046,9.3844,0.9835,3.1237,393,377,0,21.8801,0.9567,0.8192,105.427,barley
,,,,,,,,,,,,
3878,174.1603,32.8878,0.982,-5.7331,4547,3878,1,70.2682,0.8529,0.5246,400.588,sunflowerSeeds
,,,,,,,,,,,,
604,44.1027,17.6541,0.9164,2.2183,622,604,1,27.7315,0.9711,0.7895,100.565,peas
,,,,,,,,,,,,
674,50.1604,17.2134,0.9393,-0.557,693,674,1,29.2944,0.9726,0.7929,108.802,peas
,,,,,,,,,,,,
1794,122.3015,19.1809,0.9876,7.4854,1886,1794,1,47.7932,0.9512,0.5656,253.148,sunflowerSeeds
,,,,,,,,,,,,
382,47.0653,10.4228,0.9752,-9.9941,404,382,1,22.054,0.9455,0.6388,95.892,wheat
,,,,,,,,,,,,
598,44.2226,17.3323,0.92,-4.3956,621,598,1,27.5934,0.963,0.7383,99.3,peas
,,,,,,,,,,,,
178,21.5668,10.9144,0.8625,-1.8832,204,178,1,15.0545,0.8725,0.5953,55.898,barley
,,,,,,,,,,,,
312,35.9162,11.3465,0.9488,21.8253,327,312,1,19.9311,0.9541,0.5244,78.658,barley
,,,,,,,,,,,,
1466,137.4166,14.5632,0.9944,-2.1814,1604,1512,-4,43.2038,0.914,0.6941,266.032,sunflowerSeeds
,,,,,,,,,,,,
287,30.693,12.0171,0.9202,-23.0233,305,287,1,19.116,0.941,0.5822,68.097,wheat
,,,,,,,,,,,,
1924,168.8232,14.823,0.9961,-0.0846,2056,1928,-2,49.4946,0.9358,0.7774,334.616,sunflowerSeeds
,,,,,,,,,,,,
665,48.9249,22.3324,0.8897,-2.1029,911,666,0,29.0982,0.73,0.5303,156.504,barley
,,,,,,,,,,,,
591,46.3299,16.3124,0.936,-0.4098,609,591,1,27.4315,0.9704,0.803,100.755,peas
,,,,,,,,,,,,
221,30.0099,9.4713,0.9489,-8.6467,230,221,1,16.7746,0.9609,0.7367,63.432,wheat
,,,,,,,,,,,,
319,46.2687,9.0143,0.9808,-8.7343,356,319,1,20.1535,0.8961,0.5907,94.023,wheat
,,,,,,,,,,,,
369,29.7841,16.1901,0.8394,-20.208,393,372,-2,21.6755,0.9389,0.6936,75.002,barley
,,,,,,,,,,,,
298,52.3149,7.4548,0.9898,5.6405,333,298,1,19.4788,0.8949,0.6368,108.711,barley
,,,,,,,,,,,,
242,42.1229,7.4547,0.9842,-2.1178,265,242,1,17.5535,0.9132,0.7202,86.497,wheat
,,,,,,,,,,,,
272,25.6606,13.6334,0.8472,18.4812,280,272,1,18.6097,0.9714,0.7253,60.571,wheat
,,,,,,,,,,,,
